"","GSM1536406","GSM1536407","GSM1536408","GSM1536409","GSM1536410","GSM1536411","GSM1536412","GSM1536413"
"ACACA",1.09484,1.8356,1.72957,2.05328,1.7046,1.43844,2.39688,2.24465
"ACACB",6.23969,6.603,4.87827,6.14599,5.33124,7.99796,9.90816,8.67179
"ACAD10",0.75771,0.967122,0.827719,0.894715,1.59558,0.838937,1.09929,1.0759
"ACAD11",4.62642,5.20622,5.06188,4.05446,4.75624,5.696,5.36905,5.35786
"ACAD8",0.418755,0.73504,0.736474,1.03532,0.360765,1.03742,1.28028,0.66463
"ACAD9",2.62827,2.58637,2.25299,2.59844,2.18427,2.83654,2.79406,2.6998
"ACADL",0.113074,0.285724,0.0792191,0.543168,0.139473,2.37466,0.953526,1.07107
"ACADM",2.76648,2.18726,1.87184,2.37736,2.13253,3.85155,3.14816,3.07604
"ACADS",2.84498,2.52012,2.37253,2.3517,2.40692,2.77637,3.2662,3.10117
"ACADSB",0.538109,0.718072,0.776192,1.28501,0.881029,1.34472,1.42103,0.880744
"ACADVL",5.28354,5.223,4.42437,3.82316,4.62946,4.45774,5.55108,4.9878
"ACAN",1.80592,1.37532,1.28058,2.40441,1.27467,1.06375,1.34195,1.65914
"ACAP1",2.85766,2.79181,2.59734,3.6444,2.90172,4.28475,2.99971,3.04425
"ACAP2",3.87951,4.66743,5.11247,4.36985,4.11504,3.49083,4.62561,4.54458
"ACAP3",1.23925,0.827644,1.41623,1.07094,0.982716,1.18386,1.20721,1.3736
"ACAT1",3.34829,5.32702,4.77624,3.74659,2.33002,5.49784,6.74807,5.39765
"ACAT2",1.38997,1.73158,2.31674,1.3606,1.74483,2.04586,1.42103,1.59617
"ACBD3",2.19937,2.91312,3.68279,2.40922,0.64628,2.65518,3.21275,2.39931
"ACBD4",1.22834,1.04945,1.30672,1.6616,1.66662,1.03208,1.31701,1.33618
"ACBD5",2.29223,2.72634,2.84967,1.62855,1.48886,1.51784,3.64925,2.25265
"ACBD6",2.51522,3.5359,3.57007,2.10532,1.23191,2.84066,3.37355,3.26236
"ACCN1",1.22379,0.421468,0.491622,0.879545,0.901115,1.5968,0.754075,0.601692
"ACCN2",2.06846,1.23098,1.32189,1.40469,1.68307,1.03691,1.17818,1.28789
"ACCN3",0.654242,0.234446,-0.0112731,0.180232,0.483687,0.392438,0.163755,0.0309727
"ACCN4",0.277584,0.281539,0.417069,0.402154,0.782345,0.319422,0.485759,0.314378
"ACCN5",0.305765,0.286399,0.486012,0.69876,0.573538,0.0379198,0.190551,0.590516
"ACCS",2.90075,3.12586,3.00518,2.52472,3.76921,4.41689,3.05251,3.89094
"ACD",1.57806,1.59255,1.57474,1.71941,1.95514,1.18698,1.69917,2.33266
"ACE",0.379434,0.605235,0.430231,0.540488,0.573538,0.45263,0.369715,1.53644
"ACE2",0.546235,0.10533,0.142161,0.531729,0.146029,0.478917,0.726824,0.293948
"ACER1",0.458312,1.07037,0.945094,0.876818,1.42726,1.1191,1.18053,1.25979
"ACER3",1.57436,1.45179,1.78452,2.68217,0.433992,1.03586,1.56451,1.37261
"ACHE",0.521105,0.354922,0.573924,1.15989,1.93915,0.392365,0.395647,0.945398
"ACIN1",2.92002,2.70281,2.6378,1.02285,1.98402,2.10814,3.57124,1.95397
"ACLY",5.19178,4.76832,4.46971,5.59689,4.44458,4.67501,4.86512,4.88181
"ACMSD",0.00764817,0.251158,0.135495,0.420278,1.31738,0.712628,0.422402,-0.00644341
"ACN9",0.30671,0.567498,0.567498,0.453278,0.64963,0.527435,0.498921,0.457553
"ACO1",3.34824,2.558,2.38525,3.27427,2.64313,2.42676,5.73854,4.35617
"ACO2",1.84016,1.9952,1.85807,1.57562,0.898742,0.989899,2.99915,2.3992
