ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene_clean,Matrisome Division,Matrisome Category,Gene Name
229247_PM_at,0.69322,0.0193,2.83,-3.165557,1.11067167,FBLN7,fibulin 7,FBLN7,Core matrisome,ECM Glycoproteins,fibulin 7
225110_PM_at,0.70122,0.0197,-2.81,-3.186723,-1.35626182,OGFOD1,2-oxoglutarate and iron dependent oxygenase domain containing 1,OGFOD1,Matrisome-associated,ECM Regulators,2-oxoglutarate and iron-dependent oxygenase domain containing 1
205608_PM_s_at,0.70037,0.0197,-2.82,-3.184976,-1.33952667,ANGPT1,angiopoietin 1,ANGPT1,Matrisome-associated,Secreted Factors,angiopoietin 1
206027_PM_at,0.70281,0.0199,2.81,-3.194776,0.67998267,S100A3,S100 calcium binding protein A3,S100A3,Matrisome-associated,Secreted Factors,S100 calcium binding protein A3
218245_PM_at,0.71034,0.0207,-2.79,-3.230754,-0.76658167,TSKU,"tsukushi, small leucine rich proteoglycan",TSKU,Core matrisome,ECM Glycoproteins,tsukushi small leucine rich proteoglycan homolog (Xenopus laevis)
227989_PM_at,0.71493,0.021,-2.78,-3.244775,-0.81071,LTBP4,latent transforming growth factor beta binding protein 4,LTBP4,Core matrisome,ECM Glycoproteins,latent transforming growth factor beta binding protein 4
226311_PM_at,0.7369,0.0224,2.74,-3.306551,2.27016333,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,ADAMTS2,Matrisome-associated,ECM Regulators,"ADAM metallopeptidase with thrombospondin type 1 motif, 2"
201787_PM_at,0.73721,0.0225,2.74,-3.308601,1.36257833,FBLN1,fibulin 1,FBLN1,Core matrisome,ECM Glycoproteins,fibulin 1
228496_PM_s_at,0.73721,0.0225,-2.74,-3.308444,-1.532185,CRIM1,cysteine rich transmembrane BMP regulator 1,CRIM1,Core matrisome,ECM Glycoproteins,cysteine rich transmembrane BMP regulator 1 (chordin-like)
205229_PM_s_at,0.73934,0.023,-2.72,-3.327931,-0.74580983,COCH,cochlin,COCH,Core matrisome,ECM Glycoproteins,"coagulation factor C homolog, cochlin (Limulus polyphemus)"
212670_PM_at,0.73936,0.0232,2.72,-3.336559,1.89172033,ELN,elastin,ELN,Core matrisome,ECM Glycoproteins,elastin
209687_PM_at,0.73936,0.0232,-2.72,-3.338691,-1.401515,CXCL12,C-X-C motif chemokine ligand 12,CXCL12,Matrisome-associated,Secreted Factors,chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)
208269_PM_s_at,0.74981,0.024,2.7,-3.37106,0.61917133,ADAM28,ADAM metallopeptidase domain 28,ADAM28,Matrisome-associated,ECM Regulators,ADAM metallopeptidase domain 28
213428_PM_s_at,0.74981,0.024,2.7,-3.37043,0.692145,COL6A1,collagen type VI alpha 1 chain,COL6A1,Core matrisome,Collagens,"collagen, type VI, alpha 1"
202363_PM_at,0.76366,0.0251,2.67,-3.411849,1.98131,SPOCK1,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1",SPOCK1,Core matrisome,Proteoglycans,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1"
231743_PM_at,0.76366,0.0251,2.67,-3.409677,0.547925,WNT3,Wnt family member 3,WNT3,Matrisome-associated,Secreted Factors,"wingless-type MMTV integration site family, member 3"
202450_PM_s_at,0.76922,0.0256,2.66,-3.429059,2.43695333,CTSK,cathepsin K,CTSK,Matrisome-associated,ECM Regulators,cathepsin K
221900_PM_at,0.77122,0.0258,2.65,-3.435892,1.85791767,COL8A2,collagen type VIII alpha 2 chain,COL8A2,Core matrisome,Collagens,"collagen, type VIII, alpha 2"
208949_PM_s_at,0.77605,0.0264,-2.64,-3.457091,-1.33756,LGALS3,"lectin, galactoside binding soluble 3",LGALS3,Matrisome-associated,ECM-affiliated Proteins,"lectin, galactoside-binding, soluble, 3"
210095_PM_s_at,0.77873,0.0269,-2.63,-3.476015,-1.07637167,IGFBP3,insulin like growth factor binding protein 3,IGFBP3,Core matrisome,ECM Glycoproteins,insulin-like growth factor binding protein 3
200982_PM_s_at,0.77873,0.027,-2.63,-3.479502,-0.93219333,ANXA6,annexin A6,ANXA6,Matrisome-associated,ECM-affiliated Proteins,annexin A6
219436_PM_s_at,0.77893,0.0271,-2.62,-3.484305,-0.987875,EMCN,endomucin,EMCN,Matrisome-associated,ECM-affiliated Proteins,endomucin
209897_PM_s_at,0.77893,0.0271,2.62,-3.484259,0.87869167,SLIT2,slit guidance ligand 2,SLIT2,Core matrisome,ECM Glycoproteins,slit homolog 2 (Drosophila)
203417_PM_at,0.78135,0.0274,2.62,-3.493526,1.09142667,MFAP2,microfibrillar associated protein 2,MFAP2,Core matrisome,ECM Glycoproteins,microfibrillar-associated protein 2
232317_PM_at,0.78181,0.0275,-2.62,-3.495049,-0.83897833,PLXNA4,plexin A4,PLXNA4,Matrisome-associated,ECM-affiliated Proteins,plexin A4
201843_PM_s_at,0.78869,0.0283,-2.6,-3.524531,-1.276225,EFEMP1,EGF containing fibulin like extracellular matrix protein 1,EFEMP1,Core matrisome,ECM Glycoproteins,EGF-containing fibulin-like extracellular matrix protein 1
211964_PM_at,0.78879,0.0286,-2.59,-3.534299,-0.90801,COL4A2,collagen type IV alpha 2 chain,COL4A2,Core matrisome,Collagens,"collagen, type IV, alpha 2"
203424_PM_s_at,0.79757,0.0297,-2.57,-3.567864,-2.12923833,IGFBP5,insulin like growth factor binding protein 5,IGFBP5,Core matrisome,ECM Glycoproteins,insulin-like growth factor binding protein 5
242444_PM_at,0.79901,0.0299,2.56,-3.575545,0.56035633,C1QTNF6,C1q and tumor necrosis factor related protein 6,C1QTNF6,Matrisome-associated,ECM-affiliated Proteins,C1q and tumor necrosis factor related protein 6
218638_PM_s_at,0.80209,0.0305,2.55,-3.593551,1.45533,SPON2,spondin 2,SPON2,Core matrisome,ECM Glycoproteins,"spondin 2, extracellular matrix protein"
211428_PM_at,0.80269,0.0307,2.55,-3.59992,0.787334,SERPINA1,serpin family A member 1,SERPINA1,Matrisome-associated,ECM Regulators,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1"
219245_PM_s_at,0.81129,0.0319,2.52,-3.635022,0.94807817,OGFOD2,2-oxoglutarate and iron dependent oxygenase domain containing 2,OGFOD2,Matrisome-associated,ECM Regulators,2-oxoglutarate and iron-dependent oxygenase domain containing 2
1558220_PM_at,0.81737,0.0326,-2.51,-3.653509,-1.07581667,MUC20,"mucin 20, cell surface associated",MUC20,Matrisome-associated,ECM-affiliated Proteins,"mucin 20, cell surface associated"
215446_PM_s_at,0.82192,0.0331,2.5,-3.669743,2.16197,LOX,lysyl oxidase,LOX,Matrisome-associated,ECM Regulators,lysyl oxidase
210605_PM_s_at,0.82192,0.0332,2.5,-3.670687,1.15391333,MFGE8,milk fat globule-EGF factor 8 protein,MFGE8,Core matrisome,ECM Glycoproteins,milk fat globule-EGF factor 8 protein
