"gene_symbol","module_color","MM","MM_pvalue","GS","GS_pvalue"
"CALU","salmon",0.828238699497605,0.0110923575876542,0.74776275742702,0.0329135772306486
"EZR","salmon",0.589455677914731,0.124098245866879,0.680273845085253,0.0633691971231202
"GALNT5","salmon",0.936730412004429,0.000603511415945585,0.741778574542906,0.0351386933810401
"PNMA2","salmon",0.697824603999769,0.054291004886202,0.686637434936511,0.0599809107513963
"FKBP10","salmon",0.786525063842869,0.0205932737172342,0.682763599977828,0.062030353946151
"PPBP","salmon",0.715367900577591,0.0460429869000146,0.408293302459701,0.31527498941653
"CEBPB","salmon",0.793714450388763,0.0186903405823855,0.69723055674089,0.0545846532275609
"NF2","salmon",0.79453794394462,0.0184796864676156,0.880930776285443,0.00385235197718079
"FLNA","salmon",0.631519704947122,0.0930592412649646,0.882329755148968,0.00372222535585686
"SCG2","salmon",0.773734979766807,0.0242675669543532,0.679722415029822,0.0636680203587383
"ADAM9","salmon",0.893373319865394,0.00279346945933961,0.831396550475333,0.0105181808282522
"JOSD1","salmon",0.879135147500009,0.00402362095386519,0.652158580000114,0.0796770947494665
"KCNE4","salmon",0.605210805225017,0.111877186194871,0.535161704709262,0.171697382226874
"PDLIM4","salmon",0.801376939677191,0.0167874482907327,0.687780286035353,0.0593840986190876
"DPYSL3","salmon",0.518773929644987,0.187728219058189,0.604848698312768,0.112150041894229
"CDC42SE1","salmon",0.83612600215642,0.00969407883875536,0.621527711447716,0.0999728335614075
"LOC646329","salmon",0.795482338965419,0.018239939041866,0.315546224036079,0.446451142699868
"LOH3CR2A","salmon",0.967053162985279,8.72142408143666e-05,0.732017879977109,0.0389607671026635
"GPRC5A","salmon",0.902502050664175,0.00215087877116278,0.804533193561541,0.0160405200318764
"TNFAIP3","salmon",0.861884651627864,0.00592322586777493,0.497521406308181,0.209654026184318
"ROR1","salmon",0.795364235676411,0.0182698141420366,0.701591974964433,0.0524507542376911
"MLF1","salmon",0.950363931663663,0.000294457541384906,0.69646050013605,0.0549667176250293
"CKAP4","salmon",0.553948496191114,0.154266206235138,0.669350874341709,0.0694442921787549
"DPH1","salmon",0.93119369076153,0.000772928370535075,0.620638352718955,0.100602016438132
"OVCA2","salmon",0.93119369076153,0.000772928370535075,0.620638352718955,0.100602016438132
"DCUN1D3","salmon",0.688061349389954,0.0592378676884564,0.433076244558373,0.283801225069542
"SELE","salmon",0.724990960563174,0.0418623993591487,0.455775660798173,0.256393888630274
"FKBP11","salmon",0.708748680374081,0.0490591939636409,0.850376330968978,0.00746254581264843
"ELL","salmon",0.863684947445769,0.00570268991894758,0.550523566511196,0.157368383341581
"C11orf75","salmon",0.690652510369564,0.0578998477258101,0.798248645074543,0.0175488980339891
"BCL2A1","salmon",0.857586576423299,0.00647162461118215,0.409344722985754,0.313907484203271
"NCF2","salmon",0.794403907308504,0.0185138721446701,0.670665417850957,0.0686957435874255
"CDC42EP3","salmon",0.818618428740841,0.0129624961897821,0.623164242917778,0.0988209703716521
"TIPARP","salmon",0.779258808904206,0.0226347072583641,0.414132265104967,0.307716466124633
"SNORD114-3","salmon",0.46035519359732,0.251032598805229,0.18400893123435,0.66269215892068
"PPP1R15A","salmon",0.878673591633094,0.00406842242118418,0.646449662102964,0.0832582219697838
"ITPRIP","salmon",0.955978137907808,0.000206297935038462,0.6674996436473,0.0705065708972348
"MYH9","salmon",0.859950443712071,0.00616617106387745,0.714789465545366,0.0463019714747492
"ARRB2","salmon",0.693977958172404,0.0562093008567119,0.771592129462514,0.0249200744213775
"CFH","salmon",0.586776625300528,0.126247543743882,0.799844136553906,0.0171579010586414
"CFHR1","salmon",0.586776625300528,0.126247543743882,0.799844136553906,0.0171579010586414
"ODF2","salmon",0.818432224627411,0.0130005204978912,0.875451817933261,0.00439011394920507
"CXCL16","salmon",0.858972468498591,0.00629139738228646,0.780767516629219,0.0222009496633714
"HAVCR2","salmon",0.940953635061791,0.000492136521812716,0.747864020122909,0.0328766892454181
"CSNK1A1","salmon",0.640314808561858,0.0872090717048419,0.361902190885089,0.378354726875759
"TPM2","salmon",0.880516719500691,0.00389141982525006,0.956830222934899,0.000194675325090006
"PDIA5","salmon",0.852774136178116,0.00712298534479824,0.811598764293125,0.0144449724330017
"CDK16","salmon",0.727164699018059,0.040951260505511,0.622801633035197,0.0990755307632762
"SOCS5","salmon",0.510279123343422,0.196338900899104,0.398244530559979,0.328486365453596
"GALNT1","salmon",0.845762774845487,0.00814454830074828,0.836929845639916,0.00955823011382735
"C19orf10","salmon",0.797838685079811,0.01765025608818,0.758632771975539,0.029097444646324
"NBL1","salmon",0.893071836539252,0.00281657025855703,0.7660432643189,0.0266598413426475
"RASSF2","salmon",0.813932808647998,0.0139408134023957,0.760866311464277,0.0283488847499064
"ZMAT3","salmon",0.743249522424722,0.0345834815396854,0.689356614081437,0.058566743654864
"ARL5B","salmon",0.790500772974295,0.0195267398624405,0.446370223659088,0.267582703565729
"ISM1","salmon",0.704486736295274,0.0510625213084438,0.90282584322906,0.00213005592430835
